"TITLE","COMPANY","LOCATION","IS_REMOTE","JOB_URL","SOURCE","SEARCH_TERM","SEARCH_CITY","TECHNICAL_STACK","KEY_RESPONSIBILITIES","REQUIRED_EXPERIENCE","SUCCESS_METRICS","SALARY_RANGE","SALARY_IS_ESTIMATED","SYSTEMS_FIT","RETRIEVAL_INFRA_FIT","ALGORITHMIC_ML_FIT","OVERALL_MATCH","MATCH_REASON","VISA_ANALYSIS"
"Software Engineer II","Amazon.com","Seattle, WA, US",False,"https://www.indeed.com/viewjob?jk=4816f9580abcb9a9","indeed","software engineer (""new grad"" OR junior OR entry OR ""0-3 years"")","Seattle, WA","AWS, Golang, CDN, Distributed Systems","Build features enabling the next generation of the Twitch Video Distribution system | Implement systems to manage traffic across multiple CDNs | Build robust, operable, and maintainable distributed software systems | Provide technical leadership and guidance to junior team members","3+ years of professional software development, B.A. or B.S. in Computer Science or related discipline","","$130,000 - $160,000",True,"High","Low","Low",85,"This role is for a backend distributed systems developer focused on building video distribution systems, making the candidate's strong systems fit a perfect match despite low retrieval and algorithmic fits.","The job description does not specify any restrictions on visa sponsorship and mentions that applicants must be authorized to work in the US."
"Software Engineer, Prime Video","Amazon.com","Seattle, WA, US",False,"https://www.indeed.com/viewjob?jk=206e2324d6053067","indeed","software engineer (""new grad"" OR junior OR entry OR ""0-3 years"")","Seattle, WA","AWS, EC2, S3, DynamoDB, Kinesis, Cloudfront, machine learning","Build personalized discovery experience for live streaming events | Design and implement distributed systems for large datasets | Collaborate with team to develop high-performance customer-friendly products","3+ years software development, 2+ years design or architecture experience, BS in Computer Science or equivalent","Support billions of requests from millions of Prime Video users","$120,000 - $160,000",True,"High","Medium","Medium",80,"This role is for a Software Development Engineer focused on building scalable systems for live streaming, which aligns well with the candidate's strong systems background and some relevant experience in machine learning.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Software Development Engineer, Live Sports - Prime Video","Amazon.com","Seattle, WA, US",False,"https://www.indeed.com/viewjob?jk=ebcc6a0c97da590d","indeed","software engineer (""new grad"" OR junior OR entry OR ""0-3 years"")","Seattle, WA","AWS, EC2, S3, DynamoDB, Kinesis, Cloudfront, machine learning","Build personalized discovery experience for live streaming events | Design and implement distributed systems for large datasets | Collaborate on the full software development life cycle | Optimize existing systems for reliability and scaling","3+ years software development, 2+ years design or architecture experience, BS in Computer Science or equivalent","Support billions of requests from millions of Prime Video users","$120,000 - $160,000",True,"High","Medium","Medium",80,"This role is primarily focused on building scalable systems for live streaming, making the candidate's strong systems experience a great fit, while also valuing some algorithmic and retrieval infrastructure knowledge.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"On-Device Machine Learning Integration Engineer","Apple","Seattle, WA, US",False,"https://www.indeed.com/viewjob?jk=698b08e64f9d425c","indeed","""algorithm engineer"" OR ""applied scientist""","Seattle, WA","Python, Swift, C++, PyTorch, CoreFoundation, RealityKit, CoreML","Develop applications and tools for algorithm evaluation and technology demonstrations | Integrate ML and CV components into production systems | On-device integration of CV/ML algorithms","2 years relevant industry experience, Bachelor's degree in Computer Science or related discipline","","$100,000 - $130,000",True,"Medium","Low","High",80,"This role is focused on integrating machine learning and computer vision technologies, requiring a strong background in ML algorithms and development pipelines, making the candidate a strong match.","The job description does not specify any restrictions on visa sponsorship and mentions that applicants must be authorized to work in the US."
"Machine Learning Engineer: Intern Opportunities for University Students, Redmond","Microsoft","Redmond, WA, US",False,"https://www.indeed.com/viewjob?jk=cb1f65779eabe975","indeed","""algorithm engineer"" OR ""applied scientist""","Seattle, WA","Python, PyTorch, scikit-learn, SQL, pandas, Git","Implements, tests, and debugs ML pipelines, models, or components | Applies software engineering practices to ML code and data workflows | Collaborates with machine learning engineers and software engineers | Explores tools and frameworks commonly used in ML engineering | Communicates progress, blockers, and learnings effectively","1 year programming experience in an object-oriented language, enrolled in a bachelor's or master’s program in Computer Science or related field","","$5,610 - $11,010 per month",False,"Medium","Low","High",80,"This is a Machine Learning Engineer intern role that emphasizes ML pipelines and software engineering practices, making the candidate's strong algorithmic and ML background a great fit.","The job description does not specify any restrictions on visa sponsorship and mentions that applicants must be authorized to work in the US."
"Applied Scientist, Skill Builder, AWS Training and Certifications","Amazon Web Services","Seattle, WA, US",False,"https://www.indeed.com/viewjob?jk=e0cc5c3d25dae2d2","indeed","""algorithm engineer"" OR ""applied scientist""","Seattle, WA","Large Language Models, Machine Learning, AWS, Data Analysis","Design, develop, and implement scalable machine learning solutions | Collaborate with cross-functional teams to define project requirements | Conduct data analysis to drive actionable recommendations | Explore and evaluate state-of-the-art AI/ML techniques | Communicate technical concepts to both technical and non-technical stakeholders","","Establish success metrics for project delivery, enhance operational performance","$120,000 - $160,000",True,"Low","Low","High",85,"This role is for an Applied Scientist focusing on advanced machine learning techniques, particularly in the context of LLMs, making the candidate's strong algorithmic and mathematical background a perfect fit.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates should be authorized to work in the US."
"Applied Scientist, Skill Builder, AWS Training and Certifications","Amazon Web Services","Bellevue, WA, US",False,"https://www.indeed.com/viewjob?jk=3888a32980f5c46f","indeed","""algorithm engineer"" OR ""applied scientist""","Seattle, WA","Large Language Models, Machine Learning, AWS, Data Analysis","Design, develop, and implement scalable machine learning solutions | Collaborate with cross-functional teams to define project requirements | Conduct data analysis to enhance operational performance | Explore and evaluate state-of-the-art AI/ML techniques | Communicate technical concepts to technical and non-technical stakeholders","","Establish success metrics for high-quality solutions","$120,000 - $160,000",True,"Low","Low","High",85,"This role is for an Applied Scientist focusing on advanced machine learning techniques, particularly in the context of LLMs, making the candidate's strong algorithmic and mathematical background a perfect fit.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates should be authorized to work in the US."
"Software Development Engineer II, Sponsored Products Autonomous Campaigns","Amazon.com","Seattle, WA, US",False,"https://www.indeed.com/viewjob?jk=f597ed666dea447a","indeed","""algorithm engineer"" OR ""applied scientist""","Seattle, WA","Python, LLM deployment frameworks, Reinforcement learning, Distributed systems, Cloud-native development","Implement core services and APIs for agent orchestration and state management | Build scalable, reusable data and tool registry | Develop infrastructure for fine-tuning and reinforcement learning pipelines | Ensure performance, scalability, observability, and maintainability | Participate in system design, code reviews, and team architecture discussions","","Impact on advertiser success, improvements in guidance systems","$130,000 - $160,000",True,"High","Medium","High",85,"This role is a Software Development Engineer position that requires strong systems engineering skills and a solid understanding of ML and algorithmic principles, making the candidate a strong match.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
"Applied Scientist II, Sponsored Products Autonomous Campaigns","Amazon.com","Seattle, WA, US",False,"https://www.indeed.com/viewjob?jk=d5cda74f280eecec","indeed","""algorithm engineer"" OR ""applied scientist""","Seattle, WA","Python, Reinforcement Learning, Machine Learning, Large Language Models (LLMs), Data Pipelines","Design and build agents for autonomous campaigns experience | Implement advanced model and agent optimization techniques | Curate datasets and tools for model training | Build evaluation pipelines for agent workflows | Collaborate with engineering and product teams to bring innovations into production","3-5 years in applied AI, MS or PhD in Computer Science or related field","Improve advertiser success through enhanced guidance systems, impact on campaign performance","$130,000 - $160,000",True,"Low","Low","High",85,"This role is focused on applied AI and algorithm development, requiring a strong mathematical background and expertise in ML techniques, making the candidate a strong match despite low systems and retrieval infrastructure fit.","The job description does not specify any restrictions on visa sponsorship and implies that candidates must be authorized to work in the US."
"Applied Scientist, ML Compiler","Amazon Web Services","Seattle, WA, US",False,"https://www.indeed.com/viewjob?jk=2f00cb08e5f3aff7","indeed","""algorithm engineer"" OR ""applied scientist""","Seattle, WA","Python, Java, C++, Machine Learning, Deep Learning, Compilers, Program Analysis","Design, develop, and deploy analyzers for ML compiler stages | Architect and implement business-critical tooling | Publish cutting-edge research in compiler technology | Mentor a team of experienced scientists and engineers | Contribute to design and research in deep-learning systems software","","","$130,000 - $160,000",True,"Low","Low","High",85,"This role is for an Applied Scientist focusing on algorithms and machine learning, where the candidate's strong algorithmic and mathematical background aligns well with the requirements despite low needs for systems and retrieval infrastructure.","The job description does not specify any restrictions on visa sponsorship and mentions that candidates must be authorized to work in the US."
